Title,Brand,Screen_Size,Ram,Rating,Disk_size,Price_dollar,Price_npr
"MSI GF63 15.6"" Gaming Laptop Intel Core i5-10500H GTX1650 8GB 512GB NVMe SSD Win10 - Black (10SC-838)",MSI,15.6,8.0,0.0,512.0,682.47,90570.59370000001
"MSI GS66 Stealth Gaming Laptop: 15.6"" 300Hz FHD 1080p Display, Intel Core i9-11900H, NVIDIA GeForce RTX 3080, 32GB, 1TB SSD, Thunderbolt 4, WiFi 6, Win10, Black (11UH-020)",MSI,15.6,32.0,3.7,1024.0,4699.99,623735.6729
"MSI GP76 Leopard Gaming Laptop: 17.3"" 240Hz IPS-Level Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3070, 16GB, 1TB SSD, Win10, Black (11UG-076)",MSI,17.3,16.0,4.3,1024.0,2099.0,278558.29000000004
"MSI Prestige 14 14"" FHD Ultra Thin and Light Professional Laptop: Intel Core i7-1260P GTX 1650 16GB LPDDR4X 512GB NVMe SSD, Thunderbolt 4, MicroSD Card Reader, Win 11 Pro: Carbon Gray A12SC-007",MSI,14.0,16.0,5.0,512.0,1090.26,144688.4046
"MSI GS76 Stealth 17.3"" FHD 300Hz 3ms Ultra Thin and Light Gaming Laptop Intel Core i7-11800H RTX3060 16GB 512GB NVMe SSD Win10PRO VR Ready (11UE-623)",MSI,17.3,16.0,5.0,512.0,1999.0,265287.29000000004
"MSI Modern 14 Professional Laptop: 14"" IPS-Level Thin Bezel Display,Intel Core i7-1165G7, Iris Xe, 8GB, 512GBSSD, Win10, Beige Mousse(B11MO-242)",MSI,14.0,8.0,5.0,512.0,728.72,96708.4312
"MSI Katana GF66 15.6"" 144Hz 3ms FHD Gaming Laptop Intel Core i7-11800H RTX3050TI 16GB 512GBNVMe SSD Win11 - Black (11UD-1090)",MSI,15.6,16.0,4.7,512.0,1112.0,147573.52000000002
"2022 MSI Stealth GS77 12UHS-040 Pro Extreme (i9-12900H, 64GB RAM, 4TB NVMe SSD, RTX 3080Ti 16GB, 17.3"" 4K UHD, Windows 11 Pro) Gaming Laptop",EXCaliberPC,17.3,64.0,5.0,4096.0,4595.0,609802.4500000001
"MSI Stealth 15M 15.6"" FHD 144Hz Ultra Thin and Light Gaming Laptop: Intel Core i7-1260P RTX 3060 16GB DDR5 512GB NVMe SSD , Thunderbolt 4, Cooler Boost 5, Win11 Pro: Carbon Gray B12UE-040",MSI,15.6,16.0,0.0,512.0,899.0,119306.29000000001
"Lenovo - 2021 - IdeaPad Gaming 3 - Laptop Computer - 15.6"" FHD Display -120Hz - AMD Ryzen 5 5600H - 8GB RAM - 256GB Storage - NVIDIA GeForce GTX 1650 - Windows 11 Home",Lenovo,15.6,8.0,4.4,256.0,649.0,86128.79000000001
"2022 MSI GF65 Thin 15.6"" FHD IPS 144Hz Gaming Laptop Intel 8-Core i7-10750H NVIDIA GeForce RTX 3060 6GB GDDR6 32GB DDR4 1TB NVMe SSD HDMI USB-C WiFi AX RJ-45 Backlit Windows 11 Home w/ Free 32GB USB",MSI,15.6,128.0,5.0,4096.0,1449.99,192428.1729
"MSI GS66 Stealth Gaming Laptop: 15.6"" 165Hz QHD 1440p Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3080, 16GB, 1TB SSD, Thunderbolt 4, WiFi 6, Win10, Black (11UH-235)",MSI,15.6,16.0,3.7,1024.0,2380.96,315977.20160000003
"MSI Vector GP76 17.3"" FHD 360Hz Gaming Laptop: Intel Core i7-12700H RTX 3080 32GB 1TB NVMe SSD, Type-C USB 3.2 Gen2 w/ DP 1.4, Wi-Fi 6E, Cooler Boost 5, Win11 Home: Core Black 12UH-297",MSI,17.3,32.0,4.0,1024.0,2699.0,358184.29000000004
"MSI GF65 Thin 10SDR VR-Ready Gaming Laptop, 15.6"" FHD 144Hz LED IPS Display, Intel 6-Core i7-10750H, 16GB DDR4, 1TB NVMe SSD, GTX 1660Ti, Wi-Fi 6, BT 5.1, Webcam, HDMI, Backlit Keyboard, Windows 10",MSI,15.6,16.0,0.0,1024.0,1599.0,212203.29
"MSI CreatorPro X17 17.3"" Professional Creator Laptop: Intel Core i9-12900HX RTX A3000 32GB DDR5 1TB NVMe SSD, 4K UHD 120hz 100% DCI-P3 , 2x Thunderbolt 4, Win11 Pro: Black A12UKS-059",MSI,17.3,32.0,0.0,1024.0,3649.0,484258.79000000004
"MSI GF65 Thin 9SD-1028 Gaming Laptop 15.6"" IPS 144Hz Intel Core i7-9750H 8GB 512GB SSD GTX 1660Ti 6G Video Memory 720p Webcam Win10",MSI,15.6,8.0,4.5,512.0,798.0,105902.58
"2022 MSI CreatorPro X17 A12UKS-059 (i9-12900HX, 128GB RAM, 2TB Platinum P41 NVMe SSD, RTX A3000 12GB, 17.3"" 4K UHD, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,17.3,128.0,0.0,2048.0,5199.0,689959.29
"MSI Raider GE66 15.6"" QHD 240Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 Ti 32GB DDR5 1TB NVMe SSD, USB-Type C, Thunderbolt 4, Cooler Boost 5, Win11 Home: Titanium Blue 12UHS-236",MSI,15.6,32.0,5.0,1024.0,2199.99,291960.6729
"MSI Modern 15 Thin and Light Daily Laptop: 15.6"" FHD 1080p, Ryzen5-5500U, UMA, 8GB, 256GB SSD, Win10PRO, Carbon Gray (A5M-071)",MSI,15.6,8.0,2.0,256.0,699.0,92764.29000000001
"Newest MSI GF65 Thin 10SDR Gaming Laptop, 15.6"" FHD 120Hz Display, Intel Core i7-10750H, GTX 1660Ti, 8GB DDR4 Memory, 512GB PCIe NVMe SSD, Win 10 Home, Backlit KB, Aluminum Black, KKE Bundle",MSI,15.6,8.0,5.0,512.0,887.98,117843.8258
"MSI Vector GP66 15.6"" QHD 165Hz Gaming Laptop: Intel Core i7-12650H RTX 3080 Ti 16GB 1TB NVMe SSD, Type-C USB 3.2 Gen2 w/ DP 1.4, Wi-Fi 6E, Cooler Boost 5, Win11 Home: Core Black 12UHSO-654",MSI,15.6,16.0,0.0,1024.0,2499.99,331773.6729
"MSI Prestige 15 Thin and Performance Driven Laptop: 15.6"" FHD 1080p, Intel Core i7-1195G7, NVIDIA GeForce GTX 1650, 16GB, 1TB SSD, Thunderbolt, WiFi 6E, Win10PRO, Carbon Gray (A11SC-044)",MSI,15.6,16.0,5.0,1024.0,1499.0,198932.29
"2022 MSI Sword 15 A11UD-1248 (i7-11800H, 32GB RAM, 512GB NVMe SSD, RTX 3050Ti 4GB, 15.6"" 144Hz FHD, Windows 11) Gaming Laptop - White",EXCaliberPC,15.6,32.0,0.0,512.0,1399.0,185661.29
"MSI Summit E13 Flip EVO Professional Laptop: 13"" IPS-Level Touch Screen, Intel core i5-1135G7, Iris Xe, 16GB RAM, 512GB NVMe SSD, Win10 PRO, Ink Black (A11MT-095)",MSI,13.4,16.0,0.0,512.0,1498.99,198930.9629
"MSI GE75 Raider 10SGS-222 17.3"" 300Hz 3ms Gaming Laptop Intel Core i9-10980HK RTX 2080 Super 32GB 1TB NVMe SSD Win10 VR Ready",MSI,17.3,32.0,4.6,1024.0,4999.0,663417.29
"MSI GF65 Thin 15.6"" 120Hz FHD Gaming Laptop Intel Core i7-10750H, GTX 1660Ti, 8GB Memory, 512GB NVMe SSD, Win10 (10SDR-1273)",MSI,15.6,8.0,4.4,512.0,689.98,91567.2458
"MSI Prestige 14 A10SC-230 14"" UHD 4k Ultra Thin and Light Professional Laptop Intel Core i7-10510U GTX1650 MAX-Q 16GB DDR4 512GB NVMe SSD Win10Pro TB3, White",MSI,14.0,16.0,4.2,512.0,976.54,129596.6234
"EXCaliberPC 2022 MSI Vector GP76 12UGS-298 (i7-12700H, 32GB RAM, 1TB NVMe SSD, RTX 3070Ti 8GB, 17.3"" FHD 360Hz 3ms, Windows 11) Gaming Laptop",EXCaliberPC,17.3,32.0,5.0,1024.0,1799.0,238745.29
"MSI GL62M 7REX-1896US 15.6"" Full HD Gaming Laptop Computer Quad Core i7-7700HQ, GeForce GTX 1050Ti 4G Graphics, 8GB DRAM, 128GB SSD + 1TB Hard Drive, Steelseries Red Backlit Keyboard",MSI,15.6,8.0,4.3,1000.0,999.99,132708.6729
"MSI Creator Z16 16"" QHD+ 120hz 100% DCI-P3 Premium Professional Laptop Intel Core i7-11800H RTX3060 16GB DDR4 512B NVMe SSD TB4 Win10Pro - Gray (A11UET-046)",MSI,16.0,16.0,0.0,512.0,2299.0,305100.29000000004
"MSI GF63 THIN 9RCX-818 15.6"" Gaming Laptop, Thin Bezel, Intel Core i7-9750H, NVIDIA GeForce GTX 1050 Ti, 8GB, 256GB NVMe SSD",MSI,15.6,8.0,4.5,256.0,1099.99,145979.6729
"MSI GF75 Thin 17.3"" Gaming Laptop Core i7-10750H 8GB RAM 512GB SSD 144Hz GTX 1650 4GB - 10th Gen i7-10750H Hexa-core - NVIDIA GeForce GTX 1650 4GB - 144Hz Refresh Rate - Up to 5 GHz CPU Speed - I",MSI,17.3,8.0,4.5,512.0,1299.99,172521.6729
"MSI Prestige 14 14"" FHD Ultra Thin and Light Professional Laptop: Intel Core i5-1240P GTX 1650 16GB LPDDR4X 512GB NVMe SSD, Thunderbolt 4, MicroSD Card Reader, Win 11 Home: Blue Stone A12SC-010",MSI,14.0,16.0,0.0,512.0,1023.6,135841.956
"MSI Creator Z16 16"" QHD+ 120hz 100% DCI-P3 Premium Professional Laptop Intel Core i9-11900H RTX3060 16GB DDR4 1TB NVMe SSD TB4 Win10Pro - Gray (A11UET-045)",MSI,16.0,16.0,0.0,1024.0,2224.69,295238.60990000004
"MSI Modern 14 Professional Laptop: 14"" IPS-Level Thin Bezel Display, Intel Core i5-1135G7, Intel Iris Xe, 8GB RAM, 512GB NVMe SSD, Win10, Carbon Gray (B11MO-207)",MSI,14.0,8.0,1.0,512.0,799.0,106035.29000000001
"2022 MSI Prestige 15 A12UD-005 Enthusiast (i7-1260P, 16GB RAM, 1TB NVMe SSD, RTX 3050Ti 4GB, 15.6"" FHD, Windows 11 Pro) Professional Laptop - Carbon Gray",EXCaliberPC,15.6,16.0,0.0,1024.0,1479.0,196278.09000000003
"MSI Prestige 15 15.6"" FHD Ultra Thin and Light Professional Laptop: Intel Core i5-1240P GTX 1650 16GB LPDDR4X 512GB NVMe SSD, Thunderbolt 4, MicroSD Card Reader, Win 11 Home: Carbon Gray A12SC-011",MSI,15.6,16.0,5.0,512.0,1064.32,141245.9072
"MSI Prestige 15 15.6"" FHD Ultra Thin and Light Professional Laptop: Intel Core i7-1260P RTX 3050 Ti 32GB LPDDR4X 512 GB NVMe SSD, Thunderbolt 4, MicroSD Card Reader, Win 11 Pro: Carbon Gray A12UD-005",MSI,15.6,16.0,0.0,512.0,1299.0,172390.29
